round,player_id,team_label,money,current_equipment_cost,match_number
2,65284,CT,3650,200,4
2,65285,T,2850,200,4
2,65286,T,3150,200,4
2,65287,T,3500,200,4
2,65288,T,3150,200,4
2,65289,T,3700,700,4
3,65280,CT,6750,2600,4
3,65281,CT,3900,4100,4
3,65282,CT,3500,3300,4
3,65283,CT,5450,3350,4
3,65284,CT,5600,200,4
3,65285,T,4200,200,4
3,65286,T,4850,200,4
3,65287,T,3350,200,4
3,65288,T,4250,200,4
3,65289,T,5100,200,4
4,65280,CT,8000,3150,4
4,65281,CT,5600,5300,4
4,65282,CT,5550,200,4
4,65283,CT,9000,3350,4
4,65284,CT,4050,4500,4
4,65285,T,6050,200,4
4,65286,T,7050,200,4
4,65288,T,5650,200,4
4,65289,T,5200,200,4
5,65280,CT,8000,200,4
5,65281,CT,4750,200,4
5,65282,CT,2650,200,4
5,65283,CT,9500,200,4
5,65284,CT,5250,200,4
5,65285,T,3750,200,4
5,65286,T,9200,2400,4
5,65287,T,3750,200,4
5,65288,T,3600,5600,4
5,65289,T,4250,3900,4
6,65280,CT,4500,200,4
6,65281,CT,2000,200,4
6,65282,CT,2900,200,4
6,65283,CT,6200,6750,4
6,65284,CT,2850,200,4
6,65285,T,3850,200,4
6,65286,T,12700,200,4
6,65287,T,3550,200,4
6,65288,T,6400,5900,4
6,65289,T,8050,3900,4
7,65280,CT,3750,200,4
7,65281,CT,2500,200,4
7,65282,CT,2750,200,4
7,65283,CT,6100,200,4
7,65284,CT,5150,200,4
7,65285,T,3700,3900,4
7,65286,T,9150,6650,4
7,65287,T,5100,200,4
7,65288,T,8850,200,4
7,65289,T,10500,4600,4
8,65280,CT,3200,200,4
8,65281,CT,5100,200,4
8,65282,CT,3000,200,4
8,65283,CT,7000,200,4
8,65284,CT,7150,200,4
8,65285,T,6250,200,4
8,65286,T,10200,4100,4
8,65287,T,4250,3900,4
8,65288,T,9700,6050,4
8,65289,T,13350,200,4
9,65280,CT,4150,4200,4
9,65281,CT,3800,200,4
9,65282,CT,4750,200,4
9,65283,CT,5900,5950,4
9,65284,CT,5850,200,4
9,65285,T,3800,200,4
9,65286,T,14700,200,4
9,65287,T,6750,200,4
9,65288,T,11350,200,4
10,65280,CT,3850,200,4
10,65281,CT,5250,200,4
10,65282,CT,3800,5100,4
10,65283,CT,8750,6350,4
10,65284,CT,4800,4600,4
10,65285,T,1500,200,4
10,65286,T,12300,200,4
10,65287,T,3750,200,4
10,65288,T,7850,200,4
10,65289,T,16000,200,4
11,65280,CT,4650,4100,4
11,65281,CT,3050,200,4
11,65282,CT,3600,200,4
11,65283,CT,10650,7050,4
11,65284,CT,7300,200,4
11,65285,T,4300,200,4
11,65286,T,10000,200,4
11,65287,T,5350,4100,4
11,65288,T,4100,6050,4
11,65289,T,12300,5000,4
12,65280,CT,3800,200,4
12,65281,CT,4050,200,4
12,65282,CT,4650,6650,4
12,65283,CT,10800,200,4
12,65284,CT,8650,200,4
12,65285,T,2350,200,4
12,65286,T,8000,200,4
12,65287,T,6050,200,4
12,65288,T,3850,200,4
12,65289,T,11000,200,4
13,65280,T,800,200,4
13,65281,T,800,200,4
13,65282,T,800,200,4
13,65283,T,800,200,4
13,65284,T,800,200,4
13,65285,CT,800,200,4
13,65286,CT,800,200,4
13,65287,CT,800,200,4
13,65288,CT,800,200,4
13,65289,CT,800,200,4
14,65280,T,4000,850,4
14,65281,T,3400,1350,4
14,65282,T,3700,850,4
14,65283,T,4300,1150,4
14,65284,T,3750,300,4
14,65285,CT,2000,200,4
14,65286,CT,2050,200,4
14,65287,CT,2400,200,4
14,65288,CT,2100,200,4
14,65289,CT,2700,200,4
15,65280,T,5950,200,4
15,65281,T,4000,2750,4
15,65282,T,5250,200,4
15,65283,T,6700,2800,4
15,65284,T,5600,2850,4
15,65285,CT,3700,200,4
15,65286,CT,4050,200,4
15,65287,CT,4900,200,4
15,65288,CT,3000,200,4
15,65289,CT,3750,200,4
16,65280,T,7000,2750,4
16,65281,T,7250,200,4
16,65282,T,5850,2550,4
16,65283,T,8950,200,4
16,65284,T,7850,200,4
16,65285,CT,5600,200,4
16,65286,CT,6250,200,4
16,65287,CT,6150,200,4
16,65288,CT,5200,200,4
16,65289,CT,5250,200,4
17,65280,T,7500,200,4
17,65281,T,4050,200,4
17,65282,T,6350,200,4
17,65283,T,5650,200,4
17,65284,T,5350,200,4
