round,player_id,first_equip_tick,match_number
6,65282,28866,38
7,65281,43937,38
7,65282,36257,38
7,65288,53608,38
8,65282,54087,38
8,65288,54626,38
9,65282,60560,38
10,65282,64403,38
11,65282,72390,38
12,65282,80050,38
12,65288,79920,38
15,65282,94365,38
3,65286,10689,40
4,65281,16842,40
5,65281,19687,40
5,65285,22312,40
6,65281,24988,40
6,65286,24907,40
6,65288,24820,40
6,65289,25052,40
7,65281,31203,40
7,65284,34503,40
7,65287,30700,40
8,65280,40507,40
8,65281,35902,40
8,65282,36983,40
8,65286,35591,40
8,65288,35523,40
9,65281,40822,40
10,65280,48551,40
10,65287,52953,40
10,65289,48777,40
11,65280,57964,40
11,65287,53191,40
11,65289,54285,40
12,65281,59815,40
12,65282,58270,40
12,65285,60088,40
12,65286,58370,40
17,65286,87012,40
17,65289,86331,40
18,65281,98096,40
18,65283,103298,40
18,65285,97526,40
18,65286,97699,40
19,65281,104866,40
19,65283,103420,40
19,65286,103589,40
19,65287,107471,40
20,65286,108884,40
20,65287,108701,40
3,65280,8903,41
3,65281,13308,41
3,65283,8645,41
3,65285,8608,41
4,65282,14382,41
4,65283,17683,41
4,65284,13804,41
5,65283,19138,41
5,65284,19307,41
6,65280,24667,41
6,65283,25382,41
6,65287,25169,41
7,65280,34154,41
7,65281,38884,41
7,65282,35327,41
7,65283,34297,41
7,65284,34640,41
7,65285,37214,41
7,65288,34266,41
8,65280,45957,41
8,65281,42352,41
8,65283,42451,41
8,65288,42873,41
9,65280,46916,41
9,65281,48010,41
9,65282,48208,41
9,65283,46965,41
10,65280,55867,41
10,65282,52833,41
10,65283,52624,41
10,65285,57362,41
10,65286,55569,41
10,65289,53538,41
11,65280,58488,41
11,65282,58733,41
11,65283,59220,41
11,65284,61345,41
11,65285,61588,41
11,65287,58763,41
11,65288,61531,41
12,65283,66520,41
12,65285,63852,41
12,65286,64804,41
12,65288,63436,41
16,65285,86637,41
16,65287,86783,41
16,65288,94390,41
17,65280,99981,41
17,65283,96022,41
17,65285,95887,41
17,65287,95022,41
17,65288,95045,41
18,65280,100244,41
18,65282,101107,41
18,65283,100377,41
4,65289,14284,42
6,65281,26251,42
6,65285,27809,42
6,65286,27631,42
6,65289,25901,42
7,65281,32779,42
7,65284,34929,42
7,65285,32251,42
7,65286,34035,42
7,65287,33200,42
7,65289,34435,42
8,65282,39902,42
8,65285,40170,42
8,65289,40148,42
9,65281,50178,42
9,65282,47862,42
9,65285,46586,42
10,65281,54145,42
10,65282,54873,42
10,65285,53762,42
10,65287,57483,42
10,65289,56812,42
11,65281,58183,42
11,65283,62397,42
11,65284,62188,42
11,65285,57730,42
11,65287,57749,42
11,65289,58057,42
12,65280,65749,42
12,65281,63737,42
12,65282,63440,42
12,65284,62980,42
12,65285,64669,42
12,65287,62993,42
12,65289,62923,42
16,65281,85234,42
16,65289,79841,42
17,65281,86699,42
4,65280,16842,43
4,65289,16804,43
5,65283,30273,43
5,65288,25072,43
6,65283,32737,43
7,65282,43062,43
7,65283,39569,43
7,65289,38579,43
8,65283,44281,43
8,65284,43856,43
9,65283,47006,43
9,65284,47089,43
9,65285,46894,43
9,65286,47106,43
9,65289,48439,43
10,65280,52362,43
10,65283,53086,43
10,65284,52568,43
10,65288,53527,43
11,65280,59984,43
11,65283,60798,43
11,65289,60692,43
12,65280,64092,43
12,65281,65225,43
12,65283,64570,43
12,65284,64671,43
15,65289,78097,43
16,65283,84618,43
16,65289,81490,43
17,65283,87458,43
18,65283,91851,43
19,65281,99093,43
19,65283,98486,43
19,65284,100122,43
19,65285,104077,43
20,65283,104514,43
20,65286,105932,43
20,65288,105327,43
21,65282,112254,43
21,65283,113179,43
21,65284,113281,43
5,65280,22747,44
6,65280,32605,44
6,65289,35328,44
7,65281,38767,44
7,65289,39635,44
8,65287,45232,44
8,65289,45513,44
9,65281,51349,44
9,65286,51241,44
10,65281,59933,44
10,65287,63460,44
11,65287,65934,44
11,65289,67200,44
12,65289,72540,44
17,65280,99314,44
17,65281,99281,44
18,65280,105083,44
18,65281,105304,44
19,65280,110001,44
19,65281,110158,44
20,65280,116563,44
20,65281,116606,44
21,65280,121875,44
21,65281,122130,44
4,65282,13726,45
5,65289,18686,45
6,65282,22969,45
6,65284,23185,45
6,65289,22627,45
7,65282,31712,45
7,65284,28177,45
7,65289,28086,45
8,65282,32352,45
8,65284,32249,45
